Volatility 3 Framework 2.26.0

Offset	Name
0x8d800010ee00	\Windows\servicing\Packages\HyperV-Feature-VirtualMachinePlatform-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636.mum
0x8d8000116480	\$Directory
0x8d8000116de0	\Windows\servicing\Packages\Containers-Client-Manager-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80001262b0	\Windows\System32\Dism\SetupPlatformProvider.dll
0x8d8000126440	\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe
0x8d80001268f0	\$Directory
0x8d8000126a80	\Windows\System32\Dism\OSProvider.dll
0x8d8000126da0	\Windows\System32\Tasks\Microsoft\Windows\WOF\WIM-Hash-Validation
0x9c0c51eafd40	\Windows\System32\Pimstore.dll
0x9c0c52442390	\Windows\System32\drivers\watchdog.sys
0x9c0c524427e0	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_19e58b6267591a82\BasicDisplay.sys
0x9c0c52442950	\Windows\System32\drivers\vmrawdsk.sys
0x9c0c52442ac0	\$Directory
0x9c0c52442da0	\Windows\System32\drivers\filecrypt.sys
0x9c0c52443360	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_d3f5994a67770b50\BasicRender.sys
0x9c0c524434d0	\$Directory
0x9c0c52443d70	\Windows\System32\drivers\npfs.sys
0x9c0c524444a0	\Windows\System32\drivers\null.sys
0x9c0c52444610	\Windows\System32\drivers\beep.sys
0x9c0c52445470	\Windows\System32\drivers\cimfs.sys
0x9c0c524455e0	\Windows\System32\drivers\cimfs.sys
0x9c0c52445750	\Windows\System32\drivers\tdx.sys
0x9c0c52445a30	\Windows\System32\drivers\msfs.sys
0x9c0c52445ba0	\Windows\System32\drivers\tdi.sys
0x9c0c52468500	\Windows\System32\drivers\afunix.sys
0x9c0c52468670	\Windows\System32\drivers\netbios.sys
0x9c0c524687e0	\Windows\System32\drivers\ws2ifsl.sys
0x9c0c52468c30	\Windows\System32\drivers\Vid.sys
0x9c0c524697b0	\Windows\System32\drivers\afd.sys
0x9c0c52469920	\Windows\System32\drivers\vwififlt.sys
0x9c0c52469a90	\Windows\System32\drivers\pacer.sys
0x9c0c52469ee0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package04~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x9c0c5246a330	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package05110~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x9c0c5246a8f0	\Windows\System32\drivers\ndiscap.sys
0x9c0c5246abd0	\Windows\System32\drivers\netbt.sys
0x9c0c5246b300	\Windows\System32\drivers\csc.sys
0x9c0c5246b8c0	\Windows\System32\drivers\winhvr.sys
0x9c0c5246be80	\Windows\System32\drivers\rdbss.sys
0x9c0c52660630	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x9c0c5266d660	\$Extend\$UsnJrnl:$J:$DATA
0x9c0c52d6d0a0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c52d6d380	\$Extend\$RmMetadata\$Repair
0x9c0c52d6d4f0	\Windows\System32\drivers\stornvme.sys
0x9c0c52d6d7d0	\$LogFile
0x9c0c52d6dab0	\$MftMirr
0x9c0c52d6dc20	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
0x9c0c52d6e070	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x9c0c52d6e350	\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION
0x9c0c52d6e4c0	\$Mft
0x9c0c52d6e630	\$Secure:$SDS:$DATA
0x9c0c52d6e7a0	\$Secure:$SII:$INDEX_ALLOCATION
0x9c0c52d6e910	\:$I30:$INDEX_ALLOCATION
0x9c0c52d6ebf0	\$BitMap
0x9c0c52d6ed60	\$Mft::$BITMAP
0x9c0c52d6eed0	\$Extend:$I30:$INDEX_ALLOCATION
0x9c0c52d950a0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x9c0c52d954f0	TxfLog
0x9c0c52d95660	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x9c0c52d95d90	\Windows\System32\drivers\dumpfve.sys
0x9c0c52d967a0	\$Extend\$RmMetadata\$TxfLog\$Tops
0x9c0c52d96910	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x9c0c52d96a80	\$Directory
0x9c0c52d96bf0	\$Directory
0x9c0c52d96d60	\Windows\System32\drivers\Dumpstorport.sys
0x9c0c52d96ed0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x9c0c52d99500	\$Directory
0x9c0c52d99670	KtmLog
0x9c0c52d99ac0	\$Directory
0x9c0c52d99c30	\$Directory
0x9c0c52d9a080	\Windows\System32\ntdll.dll
0x9c0c52d9a4d0	\Windows\System32\vertdll.dll
0x9c0c52d9a7b0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c52d9aa90	\Windows\System32\drivers\cdrom.sys
0x9c0c52d9ac00	\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0x9c0c52d9ad70	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c52d9b4a0	\Windows\System32\drivers\crashdmp.sys
0x9c0c52d9b780	\Windows\SysWOW64\ntdll.dll
0x9c0c52d9bbd0	\$Directory
0x9c0c52d9bd40	\:$I30:$INDEX_ALLOCATION
0x9c0c52d9c470	\$Directory
0x9c0c52d9c5e0	\Windows\System32\drivers\filecrypt.sys
0x9c0c52d9c750	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package01~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x9c0c52d9ca30	\Windows\System32\drivers\tbs.sys
0x9c0c52d9cd10	\Windows\System32\drivers\dxgkrnl.sys
0x9c0c52eda1f0	\Windows\System32\drivers\gpuenergydrv.sys
0x9c0c52eda920	\Windows\System32\drivers\dfsc.sys
0x9c0c52edaa90	\Windows\System32\drivers\nsiproxy.sys
0x9c0c52edac00	\Windows\System32\drivers\dfsc.sys
0x9c0c52edb330	\Windows\System32\drivers\fastfat.sys
0x9c0c52edb4a0	\Windows\System32\drivers\npsvctrig.sys
0x9c0c52edb610	\Windows\System32\drivers\bam.sys
0x9c0c52edba60	\Windows\System32\drivers\mssmbios.sys
0x9c0c52edc190	\$Directory
0x9c0c52edc5e0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0519~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x9c0c52edc8c0	\$Directory
0x9c0c52edcba0	\Windows\System32\drivers\portcls.sys
0x9c0c52edcd10	\Windows\System32\drivers\usbehci.sys
0x9c0c52edce80	\Windows\System32\drivers\ahcache.sys
0x9c0c52eedad0	\$Directory
0x9c0c52eeddb0	\Windows\System32\smss.exe
0x9c0c52eee090	\Windows\apppatch\sysmain.sdb
0x9c0c52eee650	\$Directory
0x9c0c52eee930	\$Directory
0x9c0c52eeed80	\Windows\System32\drivers\kdnic.sys
0x9c0c52eeeef0	\$Directory
0x9c0c52eefa70	\$Directory
0x9c0c52eefbe0	\Windows\bootstat.dat
0x9c0c52eefd50	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys
0x9c0c52ef01a0	\$Directory
0x9c0c52ef0310	\Windows\System32\drivers\vmmouse.sys
0x9c0c52ef0480	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys
0x9c0c52ef05f0	\Windows\System32\drivers\mouclass.sys
0x9c0c52ef0bb0	\Windows\System32\drivers\i8042prt.sys
0x9c0c52ef12e0	\Windows\System32\drivers\i8042prt.sys
0x9c0c52ef1450	\Windows\System32\drivers\serial.sys
0x9c0c52ef15c0	\Windows\System32\drivers\serenum.sys
0x9c0c52ef1cf0	\$Directory
0x9c0c52ef1e60	\Windows\System32\drivers\vm3dmp_loader.sys
0x9c0c52ef22b0	\Windows\System32\drivers\kbdclass.sys
0x9c0c52ef2700	\Windows\System32\drivers\usbuhci.sys
0x9c0c52ef2870	\Windows\System32\drivers\vm3dmp.sys
0x9c0c52ef2e30	\Windows\System32\drivers\e1i65x64.sys
0x9c0c52ef3b20	\Windows\System32\drivers\hdaudbus.sys
0x9c0c52ef3c90	\Windows\System32\drivers\portcls.sys
0x9c0c52ef3e00	\Windows\System32\drivers\usbport.sys
0x9c0c52ef40e0	\Windows\System32\drivers\drmk.sys
0x9c0c52ef43c0	\Windows\System32\drivers\ks.sys
0x9c0c52ef4c60	\Windows\System32\drivers\hdaudbus.sys
0x9c0c52f130c0	\Windows\System32\gdi32.dll
0x9c0c52f13250	\Windows\System32\msvcrt.dll
0x9c0c52f13570	\Windows\System32\Wldap32.dll
0x9c0c52f13700	\Windows\System32\difxapi.dll
0x9c0c52f13890	\Windows\System32\wow64cpu.dll
0x9c0c52f13a20	\Windows\System32\normaliz.dll
0x9c0c52f13bb0	\Windows\System32\combase.dll
0x9c0c52f13d40	\Windows\System32\sechost.dll
0x9c0c52f13ed0	\Windows\System32\shlwapi.dll
0x9c0c52f141f0	\Windows\System32\clbcatq.dll
0x9c0c52f14380	\Windows\System32\psapi.dll
0x9c0c52f14510	\Windows\System32\wow64.dll
0x9c0c52f14830	\Windows\System32\user32.dll
0x9c0c52f14ce0	\Windows\System32\ole32.dll
0x9c0c52f14e70	\Windows
0x9c0c52f610c0	\Windows\System32\drivers\rdpbus.sys
0x9c0c52f617f0	\Windows\System32\drivers\vmgencounter.sys
0x9c0c52f627c0	\Windows\System32\drivers\intelppm.sys
0x9c0c52f62aa0	\Windows\System32\drivers\CmBatt.sys
0x9c0c52f62c10	\Windows\System32\drivers\NdisVirtualBus.sys
0x9c0c52f62ef0	\Windows\System32\drivers\battc.sys
0x9c0c52f631d0	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys
0x9c0c52f63620	\Windows\System32\drivers\Ucx01000.sys
0x9c0c52f63790	\Windows\System32\drivers\USBXHCI.SYS
0x9c0c52f64480	\Windows\System32\drivers\usbd.sys
0x9c0c52f655c0	\Windows\System32\drivers\usbhub.sys
0x9c0c52f679b0	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
0x9c0c52f67c90	\$Directory
0x9c0c52f68810	\Windows\System32\drivers\USBHUB3.SYS
0x9c0c52fe90c0	\Windows\System32\wow64win.dll
0x9c0c52fe9250	\Windows\System32\ws2_32.dll
0x9c0c52fe93e0	\Windows\System32\advapi32.dll
0x9c0c52fe9570	\Windows\System32\comdlg32.dll
0x9c0c52fe9700	\Windows\System32\imm32.dll
0x9c0c52fe9890	\Windows\System32\KernelBase.dll
0x9c0c52fe9a20	\Windows\System32\shell32.dll
0x9c0c52fe9bb0	\Windows\System32\bcrypt.dll
0x9c0c52fe9d40	\Windows\System32\msctf.dll
0x9c0c52fe9ed0	\Windows\System32\SHCore.dll
0x9c0c52fea1f0	\Windows\System32\imagehlp.dll
0x9c0c52fea380	\Windows\System32\coml2.dll
0x9c0c52fea510	\Windows\System32\oleaut32.dll
0x9c0c52fea6a0	\Windows\System32\comctl32.dll
0x9c0c52fea830	\Windows\System32\GdiPlus.dll
0x9c0c52fea9c0	\Windows\System32\nsi.dll
0x9c0c52feab50	\Windows\System32\setupapi.dll
0x9c0c52feace0	\Windows\System32\kernel32.dll
0x9c0c52feae70	\Windows\System32\rpcrt4.dll
0x9c0c52ff70c0	\Windows\SysWOW64\clbcatq.dll
0x9c0c52ff7250	\Windows\System32\crypt32.dll
0x9c0c52ff73e0	\Windows\SysWOW64\gdi32.dll
0x9c0c52ff7570	\Windows\SysWOW64\gdi32full.dll
0x9c0c52ff7700	\Windows\SysWOW64\combase.dll
0x9c0c52ff7890	\Windows\System32\win32u.dll
0x9c0c52ff7a20	\Windows\SysWOW64\cfgmgr32.dll
0x9c0c52ff7bb0	\Windows\SysWOW64\shell32.dll
0x9c0c52ff7d40	\Windows\System32\msvcp_win.dll
0x9c0c52ff7ed0	\Windows\System32\wintrust.dll
0x9c0c52ff81f0	\Windows\SysWOW64\imm32.dll
0x9c0c52ff8380	\Windows\System32\gdi32full.dll
0x9c0c52ff8510	\Windows\SysWOW64\kernel32.dll
0x9c0c52ff86a0	\Windows\System32\ucrtbase.dll
0x9c0c52ff8830	\Windows\SysWOW64\KernelBase.dll
0x9c0c52ff89c0	\Windows\SysWOW64\coml2.dll
0x9c0c52ff8b50	\Windows\System32\bcryptprimitives.dll
0x9c0c52ff8ce0	\Windows\System32\cfgmgr32.dll
0x9c0c52ff8e70	\Windows\SysWOW64\oleaut32.dll
0x9c0c55057c40	\Windows\System32\drivers\HdAudio.sys
0x9c0c55058ef0	\Windows\System32\drivers\ksthunk.sys
0x9c0c5505a480	\$Mft
0x9c0c5505a5f0	\$BitMap
0x9c0c5505aa40	\$MftMirr
0x9c0c5505ad20	\$Mft::$BITMAP
0x9c0c5505b170	\$Secure:$SDS:$DATA
0x9c0c5505b450	\$Secure:$SII:$INDEX_ALLOCATION
0x9c0c5505b730	\$LogFile
0x9c0c5505b8a0	\:$I30:$INDEX_ALLOCATION
0x9c0c5505ba10	\$Extend:$I30:$INDEX_ALLOCATION
0x9c0c5505c140	\$Extend\$RmMetadata\$Repair
0x9c0c5505c2b0	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x9c0c5505c420	\Device\HarddiskVolume5\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c5505c700	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x9c0c5505ccc0	\$Extend\$RmMetadata\$TxfLog\$Tops
0x9c0c5505d3f0	KtmLog
0x9c0c5505d560	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x9c0c5505d840	\$LogFile
0x9c0c5505db20	\$MftMirr
0x9c0c5505dc90	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x9c0c5505de00	\$Mft
0x9c0c5505e0e0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x9c0c5505e250	\:$I30:$INDEX_ALLOCATION
0x9c0c5505e530	TxfLog
0x9c0c5505e6a0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x9c0c5505e810	\Device\HarddiskVolume5\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c5505e980	\Device\HarddiskVolume5\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c5505f0c0	\Windows\SysWOW64\setupapi.dll
0x9c0c5505f250	\Windows\SysWOW64\comdlg32.dll
0x9c0c5505f570	\Windows\SysWOW64\advapi32.dll
0x9c0c5505f700	\Windows\SysWOW64\nsi.dll
0x9c0c5505f890	\Windows\SysWOW64\msvcp_win.dll
0x9c0c5505fa20	\Windows\SysWOW64\SHCore.dll
0x9c0c550601f0	\Windows\SysWOW64\bcrypt.dll
0x9c0c55060380	\Windows\SysWOW64\sechost.dll
0x9c0c55060510	\Windows\SysWOW64\wintrust.dll
0x9c0c55060830	\Windows\SysWOW64\win32u.dll
0x9c0c550609c0	\Windows\SysWOW64\ucrtbase.dll
0x9c0c55060b50	\Windows\SysWOW64\imagehlp.dll
0x9c0c55060ce0	\Windows\SysWOW64\ole32.dll
0x9c0c55060e70	\Windows\SysWOW64\ws2_32.dll
0x9c0c550793e0	\Windows\SysWOW64\user32.dll
0x9c0c55079570	\Windows\SysWOW64\shlwapi.dll
0x9c0c55079890	\Windows\SysWOW64\bcryptprimitives.dll
0x9c0c55079a20	\Windows\SysWOW64\difxapi.dll
0x9c0c55079d40	\Windows\SysWOW64\crypt32.dll
0x9c0c5507a1f0	\Windows\SysWOW64\normaliz.dll
0x9c0c5507a510	\Windows\SysWOW64\msctf.dll
0x9c0c5507a6a0	\Windows\SysWOW64\GdiPlus.dll
0x9c0c5507a830	\Windows\SysWOW64\psapi.dll
0x9c0c5507a9c0	\Windows\SysWOW64\Wldap32.dll
0x9c0c5507b0c0	\ProtectedPrefix\NetWorkService
0x9c0c5507b250	\ProtectedPrefix\Administrators
0x9c0c5507b3e0	\Windows\assembly\NativeImages_v4.0.30319_32\System.Runtc259d85b#\79547eddb1248100cb576503cc02b88c\System.Runtime.WindowsRuntime.UI.Xaml.ni.dll
0x9c0c5507b570	\Windows\System32\config\SOFTWARE
0x9c0c5507b700	\Windows\SysWOW64\msvcrt.dll
0x9c0c5507b890	\ProtectedPrefix\LocalService
0x9c0c5507ba20	\Windows\SysWOW64\rpcrt4.dll
0x9c0c5507bbb0	\ProtectedPrefix\NetWorkService
0x9c0c5507bd40	\Windows\bootstat.dat
0x9c0c5507bed0	\Windows\System32\config\SYSTEM
0x9c0c5507c1f0	\ProtectedPrefix\Administrators
0x9c0c5507c510	\Windows\SysWOW64\comctl32.dll
0x9c0c5507c6a0	\ProtectedPrefix
0x9c0c5507c830	\ProtectedPrefix\LocalService
0x9c0c5507c9c0	\EFI\Microsoft\Boot\BCD
0x9c0c5507cb50	\Sessions
0x9c0c5507cce0	\EFI\Microsoft\Boot\BCD.LOG
0x9c0c5507ce70	\ProtectedPrefix
0x9c0c550f20c0	\$Secure:$SDS:$DATA
0x9c0c550f2230	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c550f23a0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
0x9c0c550f2510	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl
0x9c0c550f27f0	\:$I30:$INDEX_ALLOCATION
0x9c0c550f2960	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
0x9c0c550f2ad0	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x9c0c550f2c40	\$Mft::$BITMAP
0x9c0c550f3200	\$BitMap
0x9c0c550f3370	\$Extend:$I30:$INDEX_ALLOCATION
0x9c0c550f3650	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x9c0c550f37c0	TxfLog
0x9c0c550f3930	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl
0x9c0c550f3ef0	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x9c0c550f4060	KtmLog
0x9c0c550f41d0	\$Extend\$RmMetadata\$TxfLog\$Tops
0x9c0c550f4340	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c550f44b0	\$Secure:$SII:$INDEX_ALLOCATION
0x9c0c550f4620	\:$I30:$INDEX_ALLOCATION
0x9c0c550f4790	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x9c0c550f4900	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x9c0c550f4a70	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x9c0c550f4be0	\$Extend\$RmMetadata\$Repair
0x9c0c550f4d50	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x9c0c550f5310	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.003
0x9c0c550f5480	\$Secure:$SDH:$INDEX_ALLOCATION
0x9c0c550f55f0	\Windows\System32\LogFiles\WMI\NtfsLog.etl
0x9c0c550f5760	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
0x9c0c550f5a40	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Microsoft-Windows-Sysmon-Operational.etl
0x9c0c550f5d20	\$Directory
0x9c0c550f5e90	\Windows\System32\LogFiles\WMI\NetCore.etl
0x9c0c550f6170	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
0x9c0c550f62e0	\Windows\System32\LogFiles\WMI\RadioMgr.etl
0x9c0c550f6730	\Windows\System32\LogFiles\WMI\Wifi.etl
0x9c0c550f6a10	\$Directory
0x9c0c550f6cf0	\$Directory
0x9c0c550f6e60	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
0x9c0c550f7140	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
0x9c0c550f72b0	\Windows\System32\LogFiles\WMI\LwtNetLog.etl
0x9c0c550f7590	\$Directory
0x9c0c550f7e30	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0x9c0c550f8280	\$Directory
0x9c0c550f8c90	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
0x9c0c550f9530	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0x9c0c550f96a0	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
0x9c0c5513f250	\Windows\System32\config\SYSTEM.LOG2
0x9c0c5513f3e0	\Windows\System32\vcruntime140_1_clr0400.dll
0x9c0c5513f700	\$Directory
0x9c0c5513f890	:$VMCB$
